Username,Time,Tweet,Retweets,Likes,Interaction Count
RIPCITYYY,2023-09-27T23:14:45.000Z,Anfernee Simons is really the longest tenured Blazer now after the Dame trade ,2,32,34
Husky Lova Heavy Stevo,2023-09-27T23:21:37.000Z,This Dame trade is…. Interesting.  ,0,6,16
The Basement Sports,2023-09-27T21:28:43.000Z,"Pat Riley offseasons in the Jimmy Butler era:

2020: Ran it back hoping to land Giannis

2021: Added Lowry & PJ Tucker

2022: Hesitated to go all in on Donovan Mitchell

2023: Fumbled Dame’s Miami trade request

Our complacency has helped our rivals. It’s time for a dialogue.",140,750,890
chuba,2023-09-27T23:13:08.000Z,i got a burger and fries from five guys to celebrate the dame trade. big day,2,97,99
HAGRID FROM 3,2023-09-27T20:51:20.000Z,"And we got the Dame trade a day later. 

Coincidence?",9,40,49
Kevín,2023-09-27T22:22:19.000Z,My 17 year old son broke the Dame trade to me.  Fatherhood just keeps getting better for me.,41,1100,1141
iliana isamar,2023-09-27T21:21:34.000Z,The most exciting thing about the Dame trade is never hearing about potential Dame trades anymore lol,1,5,16
Court,2023-09-27T23:45:42.000Z,"We discussed the massive dame trade that took place today, come give it a listen!!!",4,5,19
Plant Shop Eli,2023-09-27T22:03:50.000Z,"The Dame trade is your daily reminder, these jobs don’t care about you.",3,4,17
Kirk,2023-09-27T21:53:02.000Z,"Not to be lost in the dame trade but,,,, what exactly is a Toumani Camara ?? Asking for a friend",4,19,23
The Dime w/ Josh and Kwab,2023-09-27T21:49:23.000Z,"DAME TRADE REACTION!

 http://youtu.be/d09tLKrnk24",4,5,19
Santi,2023-09-27T23:54:41.000Z,"Heat are front runners for Beal

Don’t make great offer

Suns get Beal

Heat believe Dame will ask out, which is why they held back on Beal

Dame requests a trade to Miami ONLY (no way they mess this up, right?)

Heat don’t make an “all-in” offer

Bucks get ",42,178,220
